id,name,link,description,cooktime,ingredients,recipe
24,dal gosht (meat & lentils),https://fatimacooks.net/dal-gosht-meat-lentils/,"This comforting, hearty Dal Gosht is a classic Pakistani and North Indian dish with a bit of a more-ish touch. The list of instructions may seem long, but cooking this is a relatively straight forward process",1 hour 45 minutes,"1.7 lb  (800 g) red meat, bone in lamb, beef, goat | 2   (220 g) medium onions chopped | 2   (250 g) medium tomatoes chopped | 8 cloves   garlic they don't need to be minced | 2.5 teaspoon   salt or to taste | 0.5 teaspoon   turmeric | 1 teaspoon   cumin powder | 2 teaspoon   coriander powder | 3 tablespoon  (45 ml) oil | fresh coriander chopped, for garnish | 1 cup  (180 g) chana dal yellow split peas, ideally soaked for at least an hour before use | 1 teaspoon   salt | 0.5 teaspoon   turmeric | ½ cup  (125 ml) oil | 1.5   (165 g) medium onion sliced finely | 1   heaped tablespoon cumin seeds | 2-4   chillies","Add all the ingredients for the meat except the oil and fresh coriander. Add ½ cup of water for lamb, 1 cup for goat and 2 cups for beef. Cover and cook on a low heat for 1hr for lamb, up to 2hrs for goat and 3+hrs for beef. Check a few times during the cook time to ensure the water hasn't completely dried out. | Meanwhile, boil the chana dal until the dal is completely tender. Set aside till needed. | Once the meat mixture is done, remove the lid and turn the heat to high. Begin to dry out the water. | Once the meat mixture has dried out most of the water, add the oil. Begin to sauté this, vigorously stirring continuously until the mixture becomes very dry and glossy looking. | Add the chana dal and any remaining water from it into the meat. You may need to add more water to get it to a suitable consistency, so add water if needed. Check the salt levels. | Allow the meat and lentil mixture to simmer for 5 minutes | Garnish with coriander | (Optional Tadka step) In a small pan, heat you oil or ghee. Add the onions and fry them on a medium high heat, stirring very often to ensure they brown evenly. Once they are a light brown shade, add the cumin seeds and chillies. Once the onions are a deep brown, remove from the heat and pour this mixture directly onto the coriander garnish of the meat and lentils | Serve immediately"
25,bhindi gosht - (lamb & okra curry),https://fatimacooks.net/bhindi-gosht-recipe-okra-lamb-mutton-curry/,No Description ❌,1 hour 25 minutes,"½ cup  (125 ml) oil | 6 oz  (175 g) fresh okra washed and chopped into 1 segments with heads and tails chopped off | 1   (150 g) medium-sized onion | 0.8 lb  (350 g) lamb or mutton, bone in | 2   (175 g) small tomatoes, chopped | 4 cloves   garlic minced | small chunk of ginger minced (about 1 tbsp) | 1 teaspoon   cumin seeds | 2 teaspoon   coriander powder | 2 teaspoon   paprika/kashmiri red chilli powder | 2 teaspoon   salt or to taste | 0.5 teaspoon   turmeric | ½   (75 g) a medium sized onion, finely sliced to add at the end | chopped coriander for garnishing","In a deep pot, heat up the oil. Add your chopped okra and fry this for 5 minutes on a medium/high heat, until the okra begins to get lightly golden. | Remove the okra using a slotted spoon and set aside | Remove half the oil from the pot (you can re-use this oil for any future cooking) | Add in your onions. Fry these lightly on a medium high heat until they begin to turn translucent. | Add the meat, garlic and ginger, Fry this up, stirring often, until the meat is no longer pink. | Add all the spices, tomatoes and 375ml/1.5 cup of water for lamb OR 750ml/3 cups water for mutton. | Bring to a boil, then cover and simmer this on low for 1hr for lamb OR 1hr 45 mins for mutton. Keep checking in between, just to make sure there is enough water and nothing is burning (this shouldn't happen, but just in case!). | Take off the lid. There should be a bit of moisture in the pot. | Turn the heat to high and dry this moisture off, stirring constantly. You want to keep doing this until the gravy begins to catch at the pan unless you scrape it off and the oil begins to separate from the curry. | Add the reserved okra, the onions which were to add at the end and 125ml/1/2 cup of water. | Turn the heat down to a low, cover and simmer for 10-15 minutes. | Garnish with coriander just before serving. Enjoy!"
26,mutton yakhni pulao - a soothing meal perfect for eid,https://fatimacooks.net/mutton-yakhni-pulao-a-soothing-meal-perfect-for-eid/,"A divinely aromatic, tender rice and mutton pilaf that's perfect for big celebrations as well as everyday meals. Cooked using Veetee Mega's premium long basmati rice for the fluffiest grain and the true authentic flavour.",No cooktime ❌,"2   black cardamoms, whole | 12   green cardamoms, whole | 2 tablespoon   coriander seeds, whole | 2 tablespoon   black pepper corns, whole | 2 tablespoon   cumin seeds, whole | 6   cloves, whole | 3   bay leaves, whole, whole | 1   large cinnamon stick | 3   fresh green chillies, whole (optional) | 6 teaspoon   salt, or to taste | 2.2 lb  (1 kg) mutton, bone in | 10 cloves   garlic, whole (equates to about 3 teaspoon minced garlic) | 8 cups  (2 l) water | 5 tablespoon  (75 ml) oil or ghee | 2.5   (275 g) medium onions, sliced into fine and even slivers | 1 tablespoon   cumin seeds, whole | 4 cups  (800 g) long grain basmati rice (I recommend Veetee Premium Long Grain Basmati Rice) washed and soaked for up to 90 minutes","Place all the whole spices for the broth into a spice infuser or a permeable clean cloth (see notes for what to do if you do not have these). Place all the broth ingredients into a deep pot. Bring to a boil, then cover with a lid and simmer over a low heat for 1.5 hours, or until the mutton is cooked through and soft, but not falling of the bone. | Once the broth is cooked, in a seperate pot heat oil/ghee over a medium to high heat. Add the sliced onions and fry, stirring often, until they turn a deep shade of golden. Reduce the heat if you feel the onions are browning too quickly or unevenly. | Strain the mutton from out of the broth, and once the onions are golden, add these in. Try to avoid getting too much moisture from the broth into this. Saute the mutton over a high heat alongside the onions, until the mutton catches a golden colour and the onions turn dark golden. Add the cumin seeds in for the final minute. | Add 5 cups of the prepared broth. The garlic cloves should have broken down themselves by now, but if they haven't, you can mash them with a fork and add them in too, alongside the green chillies if used. If you are short of broth, top up with plain water. | Bring to a rolling boil, then add the basmati rice. Continue to cook over a high heat, folding the rice gently to make sure the rice grains don't break, whilst ensuring nothing is sticking to the sides or bottom of the pot. This may take between 7-10 minutes, but you will need to remain close at all times as times can vary. | Once most of the liquid has evaporated from the rice, check the rice for doneness. It should be about 80% done - stiff and with a noticeable bite, but definitely not raw. At this stage, turn the heat down to the lowest possible setting, and cover the rice with a tight fitted lid (optionally lined with a clean tea towel). | Allow everything to cook over this low heat for between 15 to 30 minutes, undisturbed. Do not open the lid during this time. | Fluff up the rice using a flat paddle or a small side plate immediately after. Yakhni Pulao is best served immediately!"
27,mutton pulao (one pot yakhni pilau),https://fatimacooks.net/mutton-pulao-recipe-yakhni-pilau-rice/,"This classic Mutton Pulao recipe is great for a homely meal and also good enough for Eids, dinner parties and bigger events. A family favourite.",2 hours 30 minutes,"4 tablespoon   oil | 2 tablespoon   whole cumin seeds | 3   onions sliced (not chopped) | 10 cloves   garlic can be whole, chopped or minced | 2 tablespoon   ginger minced | 1.65 lb   mutton, bone in | 4 teaspoon   salt or to taste | 3 cups   white basmati rice (washed and soaked for a minimum of 30 mins in  water before using) | 4 cups/1l water (IMPORTANT: please read notes if you are changing the serving size) | 2.5 tablespoon   coriander seeds | 3 tablespoon   black peppercorns | 1   bayleaf | 10   green cardamoms | 2   black cardamom | 0.5   star anise | 7   cloves | 1   medium sized stick cinnamon","Heat the oil in a deep pot. Add the sliced onions and saute well, stirring often so the onions brown evenly | Once the onions and a deep golden brow, add the garlic, ginger, whole cumin seeds and mutton. Saute this well, stirring often and ensuring the mutton gets good contact with the base of the pot which will help it to brown well | Tie all the whole spices in your cloth and tie well. Add this to your pot, alongside the salt and 7 cups of water | Allow this to simmer covered on low for about 1hr 15mins. If the mutton isn't cooked through by this point, simmer for a further 15 minutes, continuing to do so until the mutton is cooked but not tender/breaking to the touch | Add in the pre-soaked rice. You'll need to check there is enough water in your pot - the way I do this is I put my finger in so the tip of my finger touches the rice. The water should be coming up to the first line on my finger. If there is too little, add some more water in till it reaches that level. If there is too much, scoop a bit out using a cup (but avoid this because you're scooping out flavour!) | Cook this on high, stirring the sides with once or twice in between to ensure the rice isn't sticking (careful not to break the rice! No stirring please!) | Once the majority of the water has evaporated but the rice still looks moist, turn the flame down to the lowest possible setting, cover tightly and allow the rice to steam cook (known as dum in urdu) for a minimum of ten minutes and for up to 20 minutes | Lift the lid and fluff up the rice using a slotted spoon or fork. This helps prevent the rice from sticking together or clumping, especially if you don't plan on serving immediately."
28,bhuna gosht masala (lamb bhuna),https://fatimacooks.net/bhuna-gosht-masala-lamb-bhuna/,"This delicious curry is a keeper! Throw everything into a pot and allow it to simmer for 1 hr and when the times up, add in some oil and saute the curry till it's at a consistency you like! So simple and such little effort required for a really tasty dish!",1 hour 25 minutes,1.5   (165 g) medium onion chopped | 3   (370 g) tomatoes chopped | 1.1 lb  (½ kg) lamb bone in | 1 heaped tsp   garlic paste | 1 heaped tsp   ginger paste | 1.5 teaspoon   salt or to taste | 2.5 teaspoon   cumin powder | 3 teaspoon   coriander powder | 1 teaspoon   red chilli powder to taste | 0.75 teaspoon   coarsely ground black pepper | 0.5 teaspoon   garam masala | 5 tablespoon  (75 ml) oil | 2 teaspoon   kashmiri chilli powder/degi mirch | 1   handful coriander chopped,"Add all the ingredients except the oil, kashmiri/degi powder. and coriander to a pot. Don't worry about chopping everything finely as in step 4 they will all break down into the masala | Add ¾ cup /175ml water to the pot. Cover, bring to a boil, then simmer on low for 1hr. | After 1hr, the lamb should be almost cooked and the onions and tomatoes should be very tender. Some of the fat from the lamb will have also been released and may be rising to the top at this point. Uncover and bring the heat to high. Add the oil, then begin to allow the water to dry out - this may take 10-15 minutes depending on how much water there is. Stir vigorously and keep the heat to high, stirring and drying out the curry until it is very dry | Once the curry is very dry, add some water in and stir until the curry comes to a consistency you're happy with. Add in the kashmiri red chilli powder/degi mirch (this is purely for colour and doesn't taste of much, so you can add more or less or omit entirely if you wish). Let it simmer on a low heat cover for a few minutes. | Add the chopped coriander, stir in and turn the heat off. Your bhuna gosht masala is ready!"
29,"ramadan recipe: keema/minced lamb filling for samosas, spring rolls, parathas etc",https://fatimacooks.net/ramadan-recipe-minced-lamb-filling/,"This is my favourite filling! Use this for samosas, spring rolls, parathas. You can even use it for pasta, salads, sandwiches - the list is never ending!",1 hour,2.2 lb  (1 kg) minced meat | oil as needed | 1   large onion chopped finely | 8 cloves   garlic minced | 1   chunk ginger minced | 4 teaspoon   coriander powder | 3 teaspoon   cumin powder | 2 teaspoon   salt | 2 teaspoon   pepper | 1 teaspoon   red chilli powder | 1   handful fresh coriander chopped,"In a pan, heat the oil and add the onions, garlic and ginger. Saute on medium heat till they are translucent, reduced in size and slightly golden. We don't want to brown them much. | Add all the spices and fry for about one minute. | Add the minced meat and about 125ml (½ cup) of water. Turn the heat down to low, cover and cook for 45 minutes, or till the meat is cooked. | Once the meat is cooked, uncover and dry out any moisture remaining over a high heat. You may not need to do this if there isn't any water left - I didn't have to. It is important to ensure there isn't any excess moisture left in the filling otherwise they can cause the samosas/spring rolls/parathas to rip. | Once the excess moisture has dried out if needed, turn the heat off and stir in the chopped coriander. Your filling is now ready to use as you wish!"
30,baingan gosht (aubergine & lamb curry),https://fatimacooks.net/baingan-gosht/,No Description ❌,1 hour 30 minutes,"¼ cup  (60 ml) oil plus more, to fry the aubergines in | 2   (220 g) onions sliced | 5 cloves   garlic minced | 1 tablespoon   ginger minced | 1.1 lb  (½ kg) lamb, bone in | 3   medium-sized aubergines | 3   (370 g) medium tomatoes | salt to taste | 3 teaspoon   coriander powder | 2.5 teaspoon   cumin powder | 1 teaspoon   pepper | 0.5 teaspoon   red chilli powder | 0.25 teaspoon   turmeric | 3   whole green chillis | Coriander for garnish","Heat some oil in a pot and add the sliced onions, garlic and ginger. Heat on medium/high till golden. | Add the lamb and brown this in the oil till it no longer remains pink. Add all the spices during the last minute. | Add 2 cups of water. Bring this to a boil and then cover and simmer on the low heat for approximately 50 minutes. | Meanwhile, slice your aubergines into thin semi-circles and pan fry them on both sides till they begin to brown. Don't use a lot of oil, as aubergines soak up oil like a sponge so the more you use, the more they'll take in and the more oily your curry will end up being. Just use enough to prevent the aubergines from sticking to the bottom of the pan. You may need to do this in batches. Keep this aside. | After the 50 minutes are up, add in the fried aubergines, whole green chilli and chopped tomatoes and cover again. Allow this to simmer on low for 15 minutes. | Uncover and check the curry for spices and doneness. If the lamb still needs more time to cook, continue to simmer it with the lid on. If the lamb is done, then turn the heat up to high and begin to dry out the curry. We are aiming for a very thick and smooth gravy the consistency of smooth pasta sauce. | Once the curry has dried out to the right consistency, garnish it with fresh coriander and serve hot with rice or chapatti."
31,sindhi lamb biryani,https://fatimacooks.net/lamb-biryani-sindhi/,No Description ❌,1 hour 45 minutes,"5   (350 g) small onions, sliced sliced | 1.5 tablespoon   garlic, minced (approx 10 cloves | 1 tablespoon   freshly minced ginger | 0.5 cup  (130 g) full fat yogurt | 1.1 lb   lamb or mutton, bone in | 1   bay leaf | 2 teaspoon   salt | 1 tablespoon   cumin | 7   green cardamom | 1 tablespoon   garam masala | 1 tablespoon   black pepper | 1   medium sized cinnamon stick | 1 tablespoon   red chilli flakes | 5   cloves | 9 oz  (250 g) potatoes, peeled and chopped into chunks | 10   dried plums | 2 cups  (400 g) white basmati rice | 1 tablespoon   salt | 10   green cardamoms | 2   black cardamoms | 1   bay leaf | 0.5   bunch mint chopped | 0.5   bunch coriander chopped | 6 slices   lemon | 6 slices   tomato | 1   star anise | 1 tablespoon   cumin | a few pinches orange/yellow food colour | 1 teaspoon   kewara water","1. Halve and deep fry the potatoes until they are pretty much fully cooked, but careful not to overcook them! Set aside for late | In a deep pot, heat the oil and add all the onions. Fry these on medium/high till they are golden brown. Remove 50% of these onions and set aside | In the pot with the remaining onions, add  the minced garlic and ginger and cook till they turn golden | Add the lamb/mutton. Sear in the oil on high heat till it no longer remains pink | Add all the yogurt, dried plums and the spices. Saute this on high for a few minutes, then add about 3-4 cups of water. Bring to a boil, cover and then cook for 1-1.5 hour, till the lamb/mutton becomes tender. Mutton may take up to 1hr 45 minutes to become tender, but keep checking to make sure it doesn't become too soft and starts falling off the bone. | Once the meat is tender, add in half a bunch of chopped mint, half a bunch of chopped coriander and the potatoes. Stir in and turn the heat off. | 1. In a separate pot, bring water to a boil alongside all the whole spices and the oil. There isn't a set amount of water - just enough for the rice to cook in. Once the water is at a boil, add in the rice and boil rapidly for 5-7 minutes, till the rice is 75% cooked. Drain in a colander immediately | In a pot, layer half your biryani curry/masala | Then add half of your rice | Sprinkle over 2-3 pinches of food colouring and ½ teaspoon kewara water | Half of the reserved fried onions | 3 slices of lemon and 3 slices of tomatoes | ¼ bunch of chopped mint and a ¼ bunch chopped coriander | Repeat that layering process again | Now, turn the heat to the lowest possible setting, cover the Biryani and allow it to steam on low for about 15-20 minutes. Once steamed, allow it to rest for 15 minutes before serving. | Serve with raita and salad. I also like serving my Biryani with fried raisins and cashews. Enjoy and lap up the compliments!"
32,phali gosht (green bean & meat curry),https://fatimacooks.net/phali-gosht-green-bean-meat-curry/,No Description ❌,2 hours,"1.1 lb  (500 g) lamb beef or mutton, bone in | 2   tomatoes chopped | 1   large onion chopped | 7 cloves   garlic minced | 2 teaspoon   ginger minced | 2 teaspoon   salt or to taste | 1 teaspoon   red chilli powder or to taste | 2 teaspoon   cumin powder | 2 teaspoon   coriander powder | ½ teaspoon   turmeric powder | 8.5 oz  (250 g) green beans | 5 tablespoon   oil adjust to preference, if needed | Coriander for garnish","Quite simply place all your ingredients into a pot (excluding the green beans, oil and garnishing ingredients), add ½ cup of water and then cover. Turn the heat to low and allow this to cook until the meat is 90% cooked, about 1hr for lamb, 1.5hr for mutton and 2-2.5hrs for beef. If you are cooking with mutton or beef, you may need to add some more water - if the mixture starts to look like it's about to catch at the bottom of the pan, add ½ cup water as needed. | Uncover. You'll see that the tomatoes and meat have released a lot of moisture. Add your green beans, turn the heat to high and begin to dry out the curry, stirring continuously, until you reach your desired level of gravy consistency. I like mine with a thick and substantial gravy, but you can dry yours down till it's very dry, like a bhuna curry if you wish. | Once you're at your desired consistency, add your oil. Now, sauté your curry for 5-7 minutes, stirring constantly. | Once you've sautéed it, check your green beans for doneness. I like my green beans with a bit of a bite so I left it here, but if it's not yet softened to your liking, add a splash of water, cover your pot and turn the heat to low till the beans are cooked to your liking. | Garnish with coriander (I didn't have any!) and fresh chillies and serve hot!"
33,karela gosht - bitter gourd & meat curry,https://fatimacooks.net/karela-gosht/,No Description ❌,2 hours 30 minutes,600 grams   bitter gourd | 600 grams   mutton or lamb meat bone in | 2   onions sliced | 1   tomato chopped | 4 cloves   garlic minced | 1   small chunk ginger | 1 teaspoon   cumin seeds | 1 teaspoon   coriander powder | 1 teaspoon   cumin powder | 0.5 teaspoon   turmeric | 1 teaspoon   red chilli powder or to taste | 1.5 teaspoon   salt or to taste | 1 teaspoon   sugar or as needed | 1   handful fresh coriander chopped | 1 cup   oil,"Using a sharp knife, peel away the skin of the bitter gourd, cut them into  thin slices and deseed them, as shown in the picture. | Place all the bitter gourds in a colander and add a teaspoon of salt and rub in. Allow this to sit for 30-45 minutes. Once the time is up, wash the salt out with cold water and squeeze the bitter gourds VERY well, using your hands. You want the bitter gourds to be a minimum 90% dry as all the water we are squeezing out is the bitterness. | Heat a cup of oil in a pan. Fry the bitter gourds till lightly golden, as shown in the picture. Careful not to overcrowd the pan - fry in batches if needed. | In the same pan, take out all but about a quarter cup of oil. Add one onion, garlic, ginger and cumin seeds and sauté till golden. | Add the tomatoes, a few splashes of water, some of the sugar (add half now and reserve the other half for later if needed) and all the spices. Cook till the tomatoes loosen up and a masala forms. | Add the meat. Sauté it on high in the masala till it no longer remains pink, then add 2 cups of hot water. Cover and simmer on low for 50 minutes for lamb and an hour for mutton. | Once that's done, add one sliced onion, the fried bitter gourds, a handful of coriander and a few splashes of water if the curry is looking dry. Adjust the spices if needed. Cover and simmer on low for 20 minutes, and it's ready!"
34,lamb dopiaza curry (gosht dopiaza),https://fatimacooks.net/gosht-lamb-dopiaza/,No Description ❌,2 hours,1 ½ lb  (700 g) lamb bone in | 5   (750 g) large  onions sliced | 12 cloves   garlic minced or chopped | 2 teaspoon   whole coriander seeds | 2 teaspoon   cumin seeds | 0.5 teaspoon   cloves | 1   medium sized stick cinnamon | 5   dried red chillis | 1 teaspoon   black peppercorns | ¼ cup  (60 ml) oil or ghee | 1 teaspoon   salt or to taste | 0.5 teaspoon   turmeric | 2   black cardamoms | 3   green cardamoms,"Add all the ingredients to a pot with 0.5 cups water, Put the lid on, turn the heat to low and allow everything to simmer away for 1.5hrs, stirring once or twice in between. | Take off the lid, turn the heat to high and saute ('bhun') off all the excess water till you are happy with the consistency of the onion gravy. All the onions should have broken down and become part of a thick sauce, almost like a masala"
35,matar gosht (pakistani lamb & pea curry),https://fatimacooks.net/matar-gosht-shorba-how-to-make-pakistani-lamb-and-pea-curry/,Comfort food at its finest. This broth-based Pakistani curry is a traditional family favourite and one which is well suited to day-to-day family meals as well as for guests.,1 hour 55 minutes,"⅓ cup  (85 ml) oil or according to preference | 1 ½   (165 g) onion chopped well | 1 ½   (185 g) tomatoes chopped well | 6 cloves   of garlic minced | 1 ½ lb  (700 g) lamb, bone in | 1 teaspoon   coriander powder | 1 teaspoon   cumin powder | 1 teaspoon   salt or to taste | 1 teaspoon   red chilli powder or to taste | 0.25 teaspoon   turmeric | 1 cup  (150 g) frozen peas | water as needed | 1   bunch coriander","In a deep pot, heat the oil. Once well heated, add the onions and fry until translucent and slightly browning | Add the tomatoes, spices and chopped garlic | Add a gulp of water to the pot and immediately cover. Cook on high heat and occasionally lift up the lid and give the mixture a spin. Use your spoon to smash the mixture with an up-down motion | Once almost all the water has dried out, remove the lid. Saute this mixture whilst continuously stirring and smashing the onions and tomatoes to help break them down. This is essential | Once all the water has dried out and you can see the onions and tomatoes have to a large extent broken down, add the lamb. Begin to saute this too, stirring continuously until the lamb no longer remains pink | Add 1 cup (250ml) of water and bring to a boil. Cover and turn the heat to low, allowing this mixture to cook for 1.5hrs. | Check occasionally to ensure the water hasn't dried out. If needed, add a gulp of water. By the end, this is how my lamb was looking (I didn't need to add any water). At this point, my lamb was cooked through and my onion/tomato masala was completely broken down into a smooth paste-like consistency | Add in the frozen peas and 1.5 cups of water (again, you can use kettle water). Cover again and allow this to cook for a further 10 minutes | Uncover your shorba and see if you are happy with the consistency of the broth. For me, these measurements work perfectly and I do not need to add more water or reduce the broth further. Should you need to add more water you may do so. Alternatively, should you want less shorba, turn the heat to high and cook the shorba until it is at your desired consistency | Add chopped coriander and serve hot."
36,shaljam gosht recipe - turnip and meat curry,https://fatimacooks.net/shaljam-gosht-recipe-turnip-meat-curry/,No Description ❌,1 hour 40 minutes,"1.1 lb  (½ kg) lamb or mutton. bone in | 2   (300 g) large onions diced | 2   (350 g) large tomatoes diced | 6 cloves   garlic | 1   thumb sized piece of ginger minced | 3 teaspoon   salt or to taste | 1 teaspoon   turmeric half for the meat, half for boiling the turnips in | 1.5 teaspoon   cumin seeds | 2 teaspoon   coriander powder | 1 teaspoon   cracked black pepper the coarse variety | 2 teaspoon   paprika/kashmiri red chilli powder | 4   turnips about 400g/2 cups | ⅓ cup  (80 ml) oil | fresh coriander. chopped for garnish | 1-2   green chillies cut into 2-3 pieces","Add all the ingredients aside from the turnips, green chilli, coriander and oil into a pot. Add 1.5 cups of water, bring to a boil, and then simmer on low with the lid on for 1hr 15 minutes. Check a few times in between to ensure the water hasn't dried out completely, topping up by a small amount if required | In a seperate pot, add the turnips with 1tsp salt and 0.5tsp turmeric and enough water to submerge the turnips. Cook these until fully done. Mash and set aside - I like to keep mine chunky for some texture. Reserve the cooking water | Once the meat mixture cook time is up, add the oil. Turn the heat to high and begin to saute the mixture, stirring the pot constantly and scraping the bottom of the pot to ensure nothing is catching. You want to keep sauting this for as long as you can - the longer you do it the better the curry will end up tasting. Evenetually the curry will become completely dry and will look very oily | Add in the mashed turnips and 1 cup water (use up the reserved turip water too). Simmer on low with the lid on for 15 minutes, then for 2-3 minutes on high without the lid. |  | Add in the chopped coriander and green chilli just before serving. Serve hot"
37,mutton korma recipe,https://fatimacooks.net/mutton-korma-recipe/,A﻿ classic korma recipe that's perfect for special events such as Eid and weddings!,2 hours,"¼ cup  (65 ml) oil/ghee | 1 medium   onion, sliced finely | 1.1 lb  (½ kg) mutton bone in, cut into curry pieces | 8 cloved   garlic, minced | 0.5 tablespoon   minced ginger | ⅓ cup  (85 g) full fat yogurt | ¼ cups  (35 g) unsalted cashews ground into a fine paste with water (see notes for substitutions) | 2   black cardamoms | 8   green cardamoms | 7   cloves | 1   bay leaf | 0.5 teaspoon   black peppercorns | 1   small sized cinnamon stick | 1.5 teaspoon   coriander powder | 0.5 teaspoon   cumin powder | 1 teaspoon   deghi mirch  can substitute 1 teaspoon deghi mirch for 1 teaspoon paprika OR ½ teaspoon red chilli powder | 1 teaspoon   salt or to taste | Kewra water 1tsp or more as per preference (optional) | 15   almonds skins removed","Heat the oil/ghee in a deep pot or pan. Add the sliced onions and fry them over a medium to high heat, stirring often and keeping a very close eye on them to ensure they brown evenly. You may find you need to turn the heat down after a while if they look like they may be browning too quickly/unevenly.. | Once the onions have turned a dark brown (not black!), use a slotted spoon to remove them and rest them spread out on a paper towel. Set aside - these will crisp up as we work on the korma. The frying process will take about 25 minutes. | Add the mutton, spices, ginger and garlic to the same oil as the onions were fried in. Fry this over a medium to high heat, until the mutton no longer remains pink, about 7 minutes. | Add in the yogurt and cashews paste. Fry everything well, stirring the entire time, until the oil begins to separate from the sauce of the curry and looks glossy - about 10 minutes. | Add in 900ml of water, bring everything to a boil and then cover with a lid and cook on a low heat for about 1.5-2hrs. | As the korma cooks, once the onions have cooled down completely and become crisp, you can crush them using your hands, a pestle and mortar, or a processor until they are broken down into a textured mixture. | Take the lid off and stir in the onions. Return the lid and cook for a further 5-10 minutes. If things are looking too dry for your liking and you want to top the water up at this point, you can do so now. | Add in the kewra water. Give everything a taste and adjust the chilli and salt if needed | Garnish with almonds just before serving"
38,pakistani karahi keema,https://fatimacooks.net/pakistani-keema-karahi/,"This is a beautiful and flavoursome curry that is perfect to serve guests or or as a special treat for yourself and your family. For optimal results, use chunky hand-made mince as opposed to machine-made mince.  For this particular recipe, I used lamb. Chicken will cook much quicker than lamb, beef or goat mince. Adjust cooking times accordingly. Serve with roti or naan.",55 minutes,"6 tablespoon  (90 ml) oil | 1 ½   medium onion chopped | 8 cloves   garlic | 3 tablespoon   minced ginger | 1 lb  (½ kg) minced meat lamb, chicken, goat, beef etc | 7   (800 g) tomatoes chopped finely | 1 ½ teaspoon   salt | 1 ½ teaspoon   cumin | 2 ½ teaspoon   ground coriander | 1 ½ teaspoon   red chilli powder | 0.5 teaspoon   garam masala | coriander for garnish, optional | green chilli for garnish, optional | julienned ginger for garnish, optional","Begin by heating the oil in your pan or pot. Once heated, add the onions, garlic and ginger and saute till brown | Add the minced meat and brown. | Once sufficiently browned, add all the spices and 1 cup of water for lamb, beef or goat and ½ cup for chicken. Bring to a boil, then allow to simmer. | Simmer till the meat is ¾ of the way cooked. This will vary for the kind of meat you have but I find the times to be around 25 minutes for lamb and mutton, 35 minutes for beef and 10 minutes for chicken. Once this stage is reached, add in the tomatoes. | Continue to simmer on medium-high until the water begins to dry out and the oil starts to separate from the curry. You will need to stay near the stove constantly at this point to ensure the water dries without allowing the curry to burn. | Once the water has mostly evaporated and the consistency is of your liking, turn off the heat. | Garnish with julienned ginger, green chilli and chopped coriander (optional)"
39,"pakistani kofta curry recipe (chicken, lamb, beef, mutton)",https://fatimacooks.net/authentic-chicken-kofta-curry/,No Description ❌,1 hour 20 minutes,"1 ½ lb  (750 g) finely minced chicken | 1.5 tablespoon   cumin seeds | 1.5 tablespoon   coriander seeds | 2 tablespoon   poppy seeds | 1   black cardamom | 1   small piece cinnamon | 2 teaspoon   salt or to taste | 1 teaspoon   red chilli powder or to taste | 2.5 tablespoon   gram chickpea flour | 3 teaspoon   white vinegar | 2-3 tablespoon   water to held shape the meatballs | 1.5   (165 g) medium onion | 12 cloves   garlic | ¼ cup  (65 ml) oil | ½ cup  (130 g) full fat yogurt | 3 teaspoon   Kashmiri red chilli powder | 2 teaspoon   salt or to taste | 2 teaspoon   coriander powder | 2 teaspoon   cumin powder | 0.25 teaspoon   turmeric | 1   whole black cardamom | 1   small piece cinnamon (whole) | poppy seeds, to garnish (optional)","Transfer all these spices to a grinder and pulse till they become a fine powder | In a food processor, add your minced meat alongside the spices you just powdered and all the other meatball ingredients. Pulse this till smooth and all the spices are mixed through | Take a small amount of the meatball mixture and pan-fry it to check for spices. Taste and adjust accordingly. Please don't skip this step as you may find you want to make the meatballs more spicy or salty and once you fry the meatballs, you won't be able to make any changes | Once you've adjusted the seasonings to your liking, shape the meatball mixture into small/medium sized balls. I got 24 meatballs with my mixture. Try to avoid cracks in your meatballs - some are inevitable but try to minimise them as much as you can. Using water on your hands will help you to make smooth koftas. | (optional) In a deep wok, fry the meatballs in minimal oil on high heat till they are browned on the outside. We aren't aiming to cook the meatballs through, we just want the meatballs to change colour. Be very gentle with them! | In a pot/pan, heat the oil and then add the onions. Fry until they are a deep brown, adding the garlic in for the final few minutes. | Transfer the onions and garlic to a food processor and pulse till smooth | Return the onions and garlic to your pot. Now stir the yogurt in. Mix well, and then add all the curry spices. Saute this on high heat till you see the oil begin to separate from the body of the curry | Add approximately 2-3 cups of water. You can vary this amount depending on how much soup (shorba) you like, but I wouldn't recommend going below 2 cups. Bring to a boil | Add in all your meatballs. Turn the heat to a low, cover and cook for 20 minutes. Once or twice during this time, pick up your pot (lid on) and swish the pot around so that the meatballs and shorba can be stirred without being touched. If we use a spoon to do this, we risk breaking the meatballs | In the most authentic of recipes, fresh coriander is not used for kofta curries. If you want to garnish your curry with coriander anyway, then go for it! Otherwise, you can garnish your meatballs with a sprinkling of poppy seeds or leave it the way it is. Enjoy!"
