recipeid,recipename,ingredients,description,diet_type,recipe_steps,totaltime
45,aghani kabuli pulao,"mutton bone-in, garlic, black cardamom, green cardamoms, coriander seeds, black peppercorns, cumin seeds, cloves, bay leaves, cinnamon stick, salt, oil, onions, basmati rice, carrots, raisins, nuts, sugar","a fragrant afghan-style pilaf with tender mutton slow-cooked with spices, served with sweet carrot topping and nuts.",Non-Vegetarian,"Slow cook mutton with spices, layer with rice and cook",120
46,chana pulao / pilau - pakistani chickpeas and rice,"pakistani chickpeas and rice oil or ghee, onion, cumin seeds, salt, cloves, black cardamoms, cinnamon, green chilies, cooked chickpeas, basmati rice, water","a hearty rice dish cooked with chickpeas and aromatic whole spices, perfect as a main or side dish.",Vegetarian,"Sauté spices, cook rice and chickpeas together.",45
47,sindhi lamb biryani,"small onions, garlic, ginger, full fat yogurt, lamb or mutton bone-in, bay leaf, salt, cumin, green cardamom, garam masala, black pepper, cinnamon stick, red chilli flakes, cloves, potatoes, dried plums, basmati rice, green cardamoms, black cardamoms, mint, coriander, lemon, tomato, star anise, cumin, food colour","a rich and flavorful sindhi lamb biryani, layered with aromatic spices, tender lamb, potatoes, and dried plums for a unique sweet and savory taste.",Non-Vegetarian,"Prepare lamb curry, layer with rice and cook on dum.",180
48,leftover curry biryani white basmati rice,"white basmati rice, cumin seeds, green cardamom pods, black cardamom pods, bay leaves, cinnamon stick, salt, oil, fresh coriander, fresh mint, orange/yellow food colour, kewara water",transform last nights curry into a flavorful biryani by layering with fragrant rice and aromatic spices.,Non-Vegetarian,"Use leftover curry, layer with rice and cook gently.",60
49,15 minute pakistani courgette curry (zucchini),"oil, onions, ginger and garlic paste, green chillies, cumin seeds, coriander powder, turmeric, red chilli powder, salt, tomato puree, courgette (zucchini), fresh coriander","a quick and flavorful pakistani courgette (zucchini) curry cooked in aromatic spices, perfect for a fast and delicious meal.",Vegetarian,"Cook onions and spices, add courgette and simmer.",15
50,achari aloo ki bhujia,"potatoes, tomato, nigella seeds (kalonji), fennel seeds (saunf), black mustard seeds (raye), fenugreek seeds (methi dana), dried fenugreek, cumin powder, coriander powder, salt, red chilli powder, plum or tamarind sauce, turmeric, green chillies, oil or butter or ghee, coriander","a spicy and tangy potato curry made with pickling spices, tomatoes, and tamarind or plum sauce — a flavorful vegetarian dish perfect with roti or rice.",Vegetarian,"Fry spices, add potatoes and sauce, cook until tender.",40
51,malai chicken karahi,"creamy stir-fried chicken curry oil, garlic, ginger, boneless chicken, tomatoes, double cream, salt, red chilli powder, cumin powder, coriander powder, turmeric, green cardamom, coriander, green chilli","a rich and creamy chicken karahi made with boneless chicken, tomatoes, and cream, flavored with traditional spices — a luxurious twist on a classic karahi.",Non-Vegetarian,"Cook chicken with spices, add cream and simmer.",50
52,bhindi masala,"oil, fresh okra, onion, garlic, tomatoes, green chillis, nigella seeds (kalonji), turmeric, salt, red chilli powder, cumin seeds, chopped coriander","a flavorful pakistani okra curry made with sautéed bhindi, tomatoes, onions, and warming spices — perfect with roti or rice.",Vegetarian,Sauté okra with spices and tomatoes until cooked,30
53,khatte aloo tangy potatoes,"oil, curry leaves, black mustard seeds, whole red chilli, cumin seeds, chilli flakes, desiccated coconut, coriander powder, chaat masala, salt, tamarind sauce, potatoes, fresh coriander, green chilli","an insanely quick, easy and absolutely finger-licking good recipe of tangy potatoes, spiced with tamarind, chillies, and aromatic seeds — perfect as a side or snack.",Vegetarian,"Tempered spices with tamarind and potatoes, cook till soft.",25
54,kaleji masala,"chicken liver, ginger garlic paste, lemon juice, cumin powder, red chilli powder, turmeric powder, coriander powder, green chillies, yogurt, oil, cumin seeds, cloves, green cardamoms, black pepper, cinnamon, onion paste, tomato paste, salt, fresh coriander, green chillie","a flavourful and delicious kaleji recipe cooked with warming spices, yogurt, and a rich masala — perfect for festive meals or a hearty dinner.",Non-Vegetarian,"Cook liver with spices, yogurt and masala until liver is tender and flavorful",40
55,chapli kabab,"cumin seeds, bay leaves, wheat flour or gram flour, onion, tomatoes (deseeded), garlic, ginger, green chillies, dried pomegranate seeds, chilli flakes, black pepper, turmeric, carom seeds, salt, dried or fresh fenugreek, coriander, eggs, minced meat with fat, oil or beef tallow","a classic pakistani minced meat kabab infused with crushed spices, tomatoes, and herbs — shallow-fried until crisp and aromatic. a popular street food and festive treat.",Non-Vegetarian,"Mix all ingredients, shape into patties, and shallow fry on medium heat until golden brown.",25
56,Pakistani Karahi Keema,"oil, onion chopped, garlic cloves, minced ginger, minced meat (lamb, chicken, goat, beef), tomatoes chopped finely, salt, cumin, ground coriander, red chilli powder, garam masala, coriander (optional), green chilli (optional), julienned ginger (optional)","A beautiful and flavoursome curry perfect for guests or family. Use chunky hand-made mince; lamb preferred. Chicken cooks faster than lamb, beef, or goat. Serve with roti or naan.",Non-Vegetarian,"Cook onion and garlic in oil, add mince, spices, and tomatoes. Cook until keema is done and masala thickens.",55
57,Pakistani Kofta Curry,"finely minced chicken, cumin seeds, coriander seeds, poppy seeds, black cardamom, cinnamon, salt, red chilli powder, gram chickpea flour, white vinegar, water, medium onion, garlic cloves, oil, full fat yogurt, Kashmiri red chilli powder, coriander powder","Delicious Pakistani kofta curry made with spiced minced meatballs simmered in a rich yogurt-based curry, flavored with whole spices and garnished with poppy seeds.",Non-Vegetarian,"Form meatballs from seasoned mince, fry lightly, prepare yogurt curry with whole spices, and simmer meatballs until tender",80
58,Nargisi Kofta,"minced chicken, cumin seeds, coriander seeds, black cardamom, cinnamon stick, salt, red chilli powder, gram flour, eggs, poppy seeds, onion chopped, garlic minced, oil, full fat yogurt, coriander powder, cumin powder","A rich Pakistani chicken scotch egg curry with spiced minced meatballs surrounding boiled eggs, simmered in a flavorful yogurt gravy.",Non-Vegetarian,"Wrap seasoned minced chicken around boiled eggs, shallow fry, make curry base, and simmer gently until done.",75
59,Aloo Gosht,"oil, large onion diced finely, garlic minced, ginger minced, small tomatoes chopped roughly, lamb bone in, potatoes peeled and chopped, salt, coriander powder, cumin powder, red chili powder, turmeric, fresh coriander (garnish)",Comfort food at its finest. A family favourite perfect for quiet nights or dinner parties. Serve with chapattis or basmati rice.,Non-Vegetarian,"Sauté onion, garlic, and ginger, add meat and spices, cook till tender, add potatoes, simmer till all is well cooked.",120
60,Chicken Kali Mirch,"medium onion diced finely, garlic paste, boneless chicken, coarsely ground black pepper, salt, cumin powder, coriander powder, full fat yogurt, fresh coriander, green chilli","This tasty and easy recipe comes together using simple ingredients, yet packs a delicious punch of black pepper flavour. A quick and satisfying dish!",Non-Vegetarian,"Heat oil in a pan and sauté finely diced onions until golden. Add garlic paste and cook briefly. Add boneless chicken and fry until lightly browned. Season with salt, cumin powder, coriander powder, and coarsely ground black pepper. Mix well. Add full-fat yogurt, stir thoroughly, and simmer on low heat ",50
61,Balu shahi,"Maida flour, yogurt, oil, sugar","A rich, flaky Indian sweet deep-fried and soaked in sugar syrup.",Vegetarian,"Make a dough using maida flour and yogurt. Rest the dough, shape into discs, and deep fry in oil until golden. Soak in sugar syrup and serve.",70
62,Boondi,"Gram flour, ghee, sugar","Tiny fried gram flour balls soaked in sugar syrup, a crunchy and sweet treat.",Vegetarian,Prepare a thin gram flour batter. Drip into hot ghee to form small balls. Fry until golden. Soak in sugar syrup.,110
63,Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",A warm carrot pudding slow-cooked with milk and garnished with nuts.,Vegetarian,Grate carrots and cook in milk until soft. Add sugar and ghee. Stir until thickened. Garnish with cashews and raisins.,75
64,Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom","A disc-shaped sweet soaked in syrup, flavored with saffron and cardamom.",Vegetarian,Make batter with flour and kewra. Fry in ghee into a honeycomb disc. Soak in sugar syrup and garnish with nuts and saffron,45
65,Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",Soft fried dough balls soaked in fragrant rose-flavored syrup,vegetarian,"Form dough from milk powder, flour, and milk. Shape into balls. Deep-fry and soak in rose-flavored sugar syrup.",55
66,Imarti,"Sugar syrup, lentil flour","Bright orange, flower-shaped sweet fried batter soaked in sugar syrup.",vegetarian,Prepare batter from lentil flour. Pipe into hot oil in a flower shape. Fry until crisp. Soak in sugar syrup.,60
67,Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom","Crispy, spiral-shaped sweets soaked in saffron sugar syrup.",vegetarian,Make a fermented batter. Pipe into hot oil in spiral shapes. Fry until crisp. Soak in saffron sugar syrup.,60
68,Kaju katli,"Cashews, ghee, cardamom, sugar",Thin diamond-shaped cashew fudge flavored with cardamom.,vegetarian,Grind cashews. Cook with sugar to a soft dough. Roll thin and cut into diamonds. Garnish with cardamom,30
69,Kalakand,"Milk, cottage cheese, sugar",Soft milk cake made with condensed milk and sugar.,vegetarian,Cook milk and cottage cheese together. Stir in sugar. Simmer until thickened. Set and cut into squares.,50
70,Kheer,"Milk, rice, sugar, dried fruits",Sweet rice pudding cooked slowly in milk and garnished with nuts.,vegetarian,Boil rice in milk until soft. Add sugar and simmer. Garnish with dried fruits.,50
71,Laddu,"Gram flour, ghee, sugar",Round sweet balls made with gram flour and ghee.,vegetarian,Roast gram flour in ghee. Add sugar. Shape into balls while warm.,50
72,Lassi,"Yogurt, milk, nuts, sugar",A refreshing yogurt-based sweet drink with nut,vegetarian,"Blend yogurt, milk, and sugar until frothy. Garnish with chopped nuts",10
73,Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",Crispy Indian shortbread cookies flavored with cardamom.,vegetarian,Make a dough with all ingredients. Shape into discs. Bake until golden,50
74,Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",ranslucent sweet made from ash gourd soaked in sugar syrup.,vegetarian,Peel and cube pumpkin. Soak in lime water. Boil until soft. Soak in sugar syrup until translucent,40
75,Phirni,"Rice, sugar, nuts",Creamy ground rice pudding flavored with cardamom and garnished with nuts,vegetarian,Soak and grind rice. Cook in milk with sugar. Simmer until thick. Garnish with nuts.,50
76,Rabri,"Condensed milk, sugar, spices, nuts",Thickened sweetened milk dessert flavored with spices and nuts.,vegetarian,Simmer milk until thick. Add sugar and spices. Stir in nuts.,55
77,Sheera,"Semolina, ghee, nuts, milk",A rich semolina pudding flavored with ghee and nuts.,vegetarian,Roast semolina in ghee. Add hot milk and cook until thick. Add sugar and nuts.,35
78,Singori,"Khoa, coconut, molu leaf","Delicate sweet made from khoa and coconut, traditionally wrapped in molu leaves.",vegetarian,Mix khoa and coconut. Shape into cones and wrap in molu leaves.,30
79,Sohan halwa,"Corn flour, ghee, dry fruits","Firm, chewy halwa made from corn flour and ghee, studded with dry fruits.",vegetarian,Cook corn flour in ghee and sugar syrup. Add dry fruits. Set and cut into pieces,70
80,Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",Flaky and crispy sweet flavored with cardamom,vegetarian,Cook gram flour in ghee and sugar syrup. Stir until thread-like consistency. Spread and cut into cubes.,60
81,Chhena jalebi,"Chhena, sugar, ghee", A deep-fried sweet made with chhena and soaked in sugar syrup.,vegetarian,Prepare dough with chhena. 2. Shape and deep-fry. 3. Soak in sugar syrup.,55
82,Chhena kheeri,"Chhena, sugar, milk",A rich milk-based dessert made with crumbled chhena.,vegetarian,Boil milk and add chhena. 2. Simmer with sugar until thickened.,50
83,Chhena poda,"Sugar, chenna cheese", A caramelized baked dessert made from chhena and sugar.,vegetarian,Mix chhena with sugar. 2. Pour into a pan. 3. Bake until golden brown.,67
84,Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes","A soft and syrupy Bengali sweet made from chhena, often filled with mawa and rolled in coconut.",vegetarian,"Shape chhena into cylinders, boil in syrup, stuff with mawa, and roll in coconut.",34
85,Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom","Chhena balls soaked in thickened, sweetened milk flavored with saffron and cardamom.",vegetarian,Soak boiled chhena balls in saffron-flavored thick milk and serve cold.,20
86,Ledikeni,"Chhena, sugar, ghee","Cylindrical fried sweets made of chhena and flour, soaked in sugar syrup.",vegetarian,"Prepare chhena dough, deep fry shaped logs, and soak in sugar syrup.",45
87,Lyangcha,"Flour, fried milk power, sugar syrup","Deep-fried, elongated sweet made from chhena and khoya, soaked in flavored syrup.",vegetarian,"make chhena-khoya dough, roll into logs, fry and soak in cardamom syrup.",30
88,Malapua,"Yoghurt, refined flour, ghee, fennel seeds","Fried Indian pancakes made from flour, milk, and sugar, soaked in syrup.",vegetarian,"Make flour batter, fry into pancakes, and dip in hot sugar syrup.",50
89,Mihidana,"Besan flour, sugar, ghee","Tiny, golden boondi-like grains made from gram flour and sweetened with syrup.",vegetarian,"Drop thin besan batter in ghee to make tiny grains, and soak in syrup.",130
90,Misti doi,"Milk, jaggery",Sweet fermented yogurt made from milk and caramelized sugar.,vegetarian,"Boil milk, add caramelized sugar, mix curd, and set in clay pots overnight.",45
91,Pantua,"Chhena, sugar, ghee, flour","Similar to gulab jamun, made from chhena and flour, deep fried and soaked in syrup.",vegetarian,"Prepare chhena dough, deep fry balls, and soak in cardamom sugar syrup.",60
92,Pithe,"Rice flour, wheat flour","A rice flour dumpling stuffed with coconut and jaggery, steamed or fried.",vegetarian,"Make rice flour dough, fill with coconut jaggery, steam or fry till done.",15
93,Rasabali,"Chenna, sweetened milk","Flattened fried chhena patties soaked in thickened, cardamom milk.",vegetarian,"Flatten chhena patties, fry and soak in sweet thickened milk.",70
94,Ras malai,"Chhena, reduced milk, pistachio",Soft chhena balls soaked in saffron-infused milk.,vegetarian,"Squeeze rasgullas, soak in saffron milk, and chill before serving.",120
95,Rasgulla,"Chhena, sugar, cardamom",Iconic Bengali sweet made of chhena balls boiled in sugar syrup.,vegetarian,Boil chhena balls in sugar syrup and cool before serving.,40
96,Sandesh,"Milk, sugar, saffron, cardamom","A dry, soft sweet made from fresh chhena and sugar, often flavored.",vegetarian,"Cook chhena with sugar, shape into molds, and garnish with pistachios.",30
97,Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",Deep-fried jaggery and rice flour dough discs from South India.,vegetarian,"Mix rice flour and jaggery, rest dough, shape and deep fry.",50
98,Ariselu,"Rice flour, jaggery, ghee","Andhra delicacy made with rice flour and jaggery, fried like flat cakes.",vegetarian,"Prepare jaggery-rice flour dough, flatten into discs, and deep fry.",60
99,Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",A unique Andhra-style besan laddu with jaggery and dry fruits.,vegetarian,"Roast besan in ghee, mix jaggery syrup and nuts, shape laddus.",20
100,Chikki,"Peanuts, jaggery",Crunchy Indian brittle made from jaggery and nuts (usually peanuts).,vegetarian,"Melt jaggery to hard ball stage, mix in peanuts, and cut into squares.",30
101,Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk","A famous sweet from Karnataka made with milk, sugar, and buffalo milk, known for its caramelized flavo",vegetarian,"Boil buffalo milk till thick, add sugar, stir continuously, and shape into pedhas.",55
102,Double ka meetha,"Loaf bread, milk","A Hyderabadi bread pudding dessert made with fried bread, milk, sugar, and dry fruits.",vegetarian,"Fry bread, prepare milk syrup with cardamom, and layer with dry fruits.",90
103,Gavvalu,"Rice flour, sugar, salt, ghee, semolina",A sweet or savory shell-shaped snack from Andhra made with rice flour dough.,vegetarian,"Make sweet rice flour dough, shape with a shell tool, and deep fry till golden.",35
104,Kakinada khaja,"Wheat flour, sugar","A layered, crisp sweet from Andhra made of wheat flour, fried and soaked in sugar syrup.",vegetarian,"Roll wheat flour dough, slice, fry until crisp, and soak in hot syrup.",40
105,Kuzhi paniyaram,"Black lentils, rice","South Indian breakfast made from fermented rice and urad dal batter, cooked in a special mould.",vegetarian,"Pour fermented batter into moulds, cook both sides till crisp",50
106,Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee","A rich, porous sweet made with besan, ghee, and sugar originating from Mysore.",vegetarian,"Roast besan in ghee, add sugar syrup, cook till frothy, and cut when set.",25
107,Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom","A flatbread stuffed with jaggery and coconut or lentils, often made during festivals.",vegetarian,"Stuff jaggery-coconut mix in flour dough, roll flat, and roast on tawa.",120
108,Palathalikalu,"Rice flour, milk",A traditional Andhra sweet made from rice flour dumplings cooked in sweetened milk.,vegetarian,"Make rice noodles, boil in jaggery milk, and cook till soft.",55
109,Poornalu,"Chana dal, jaggery","Deep-fried balls with sweet chana dal filling, popular during South Indian festivals.",vegetarian,"Fill urad batter with sweet chana mix, coat and deep fry into balls.",40
110,Pongal,"Rice, jaggery, cashews, ghee","A South Indian rice dish, either savory or sweet, made with ghee, jaggery, and dry fruits.",vegetarian,"Cook rice and moong dal, add jaggery and ghee, and garnish with cashews.",30
111,Pootharekulu,"Rice flour, powdered sugar, ghee",A delicate Andhra sweet made of rice starch sheets filled with sugar and ghee.,vegetarian,Fold rice starch sheets with powdered sugar and ghee into thin rolls.,25
112,Qubani ka meetha,"Apricots, sugar syrup",A Hyderabadi dessert made of stewed apricots served with cream or custard.,vegetarian,"Soak and cook apricots, sweeten with sugar syrup, and serve with cream.",50
113,Sheer korma,"Vermicelli pudding, milk","A festive dessert with vermicelli, milk, dry fruits, and dates.",vegetarian,"Fry vermicelli in ghee, boil with milk, add dates and nuts, and simmer.",10
114,Unni Appam,"Rice flour, banana, jaggery, coconut","Kerala sweet made with rice flour, banana, jaggery, and coconut fried into dumplings",vegetarian,"Mix rice flour, banana, and jaggery, pour in moulds, and fry till brown.",25
115,Kajjikaya,"Rice flour, jaggery, coconut","A deep-fried sweet dumpling filled with coconut, jaggery, and cardamom.",vegetarian,"Fill flour discs with coconut-jaggery, seal and deep fry until crisp.",40
116,Anarsa,"Rice flour, jaggery, khus-khus seeds","A Maharashtrian sweet made from soaked rice and jaggery, deep-fried with poppy seeds.",vegetarian,"Make dough with rice flour and jaggery, coat in poppy seeds, and deep fry.",50
117,Basundi,"Sugar, milk, nuts",A creamy Gujarati dessert made from reduced milk flavored with cardamom.,vegetarian,"Boil milk till reduced, add sugar and cardamom, garnish with nuts, and chill.",160
118,Dhondas,"Cucumber, rava","A Goan cucumber cake made with grated cucumber, semolina, and jaggery.",vegetarian,"Grate cucumber, mix with semolina and jaggery, and bake until firm.",100
119,Doodhpak,"Milk, rice, sugar, dry fruits","A sweet rice pudding made with milk, sugar, and dry fruits.",vegetarian,"Simmer rice in milk with sugar, add saffron and nuts, and cook till creamy.",25
120,Mahim halwa,"Semolina, sugar","A layered, thin sweet from Mumbai made with semolina and ghee.",vegetarian,"Cook semolina with sugar and ghee, spread in layers, and slice when set.",50
121,Modak,"Rice flour, coconut, jaggery ","A sweet dumpling filled with coconut and jaggery, offered to Lord Ganesha.",vegetarian,"Fill rice flour dough with coconut-jaggery mix, shape into domes, and steam.",20
122,Shankarpali,"Sugar, ghee, maida flour, semolina","Diamond-shaped deep-fried snacks made from sugar, ghee, and flour.",vegetarian,"Make sweet dough, cut into diamonds, and deep fry until golden brown.",35
123,Shrikhand,"Curd, sugar, saffron, cardamom","A creamy dessert made from hung curd, sugar, saffron, and cardamom.",vegetarian,"Whip hung curd with sugar, cardamom, saffron, and refrigerate.",45
124,Sutar feni,"Maida, sugar, ghee","A fine, flaky dessert made with wheat threads, ghee, and sugar.",vegetarian,"Fry wheat vermicelli in ghee, dust with powdered sugar, and serve.",140
125,Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",A spicy Bengali fish curry made with mustard oil and potatoes.,non vegetarian,"Fry fish, cook potatoes and spices in mustard oil, and simmer with water.",55
126,Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic","A mashed pork dish with onions, garlic, and mustard oil.",non vegetarian,"Boil pork, shred and mix with garlic, chilies, and mustard oil.",30
127,Chak Hao Kheer,"Rice, milk, sugar, cardamom",A Manipuri black rice pudding with milk and cardamom.,vegetarian,"Boil black rice in milk, sweeten with sugar, and cook till thick.",50
128,Galho,"Rice, axone, salt, water, chillies, pork","A Naga porridge made with rice, pork, and axone (fermented soybeans).",non vegetarian,"Boil rice, pork, and axone together with salt and chilies into a porridge",45
129,Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves","A dry vegetarian curry made with potatoes and cauliflower, flavored with turmeric and garam masala.",vegetarian,"Fry cumin, add potatoes and cauliflower, cook with turmeric and spices.",35
130,Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",Spiced potato patties often served with chutneys or as chaat.,vegetarian,"Mix mashed potatoes with spices, form patties, and shallow fry till crisp.",50
131,Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",A North Indian curry of potatoes and green peas cooked in a tomato-onion gravy.,vegetarian,Cook potatoes and peas in a spiced tomato-onion gravy until soft.,110
132,Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",A dry curry made with potatoes and fresh fenugreek leaves,vegetarian,"Sauté potatoes with cumin and spices, add methi leaves, and cook till tender",30
133,Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",Stir-fried potato and capsicum dish with Indian spices.,vegetarian,Stir-fry potatoes and capsicum with Indian spices until cooked through.,45
134,Bhatura,"Chole, rava, yogurt, plain flour, baking soda","A deep-fried, fluffy Indian bread usually served with chole.",vegetarian,"Prepare soft flour-yogurt dough, roll into discs, and deep fry till puffed.",50
